edge_id,edge_type,from_node,to_node,from_type,to_type,properties
TRADE_0001,TRADES_WITH,ORG_002,SUP_001,Company,Company,"交易金额:5353380.00,合同:HT2024000001"
TRADE_0002,TRADES_WITH,ORG_002,SUP_002,Company,Company,"交易金额:9930954.00,合同:HT2024000002"
TRADE_0003,TRADES_WITH,ORG_002,SUP_003,Company,Company,"交易金额:7317542.00,合同:HT2024000003"
TRADE_0004,TRADES_WITH,ORG_002,SUP_004,Company,Company,"交易金额:7691282.00,合同:HT2024000004"
TRADE_0005,TRADES_WITH,ORG_002,SUP_005,Company,Company,"交易金额:8980792.00,合同:HT2024000005"
TRADE_0006,TRADES_WITH,ORG_002,SUP_006,Company,Company,"交易金额:9239553.00,合同:HT2024000006"
TRADE_0007,TRADES_WITH,ORG_002,SUP_007,Company,Company,"交易金额:5712093.00,合同:HT2024000007"
TRADE_0008,TRADES_WITH,ORG_002,SUP_008,Company,Company,"交易金额:8640061.00,合同:HT2024000008"
TRADE_0009,TRADES_WITH,ORG_002,SUP_009,Company,Company,"交易金额:5786007.00,合同:HT2024000009"
TRADE_0010,TRADES_WITH,ORG_002,SUP_010,Company,Company,"交易金额:6490568.00,合同:HT2024000010"
TRADE_0011,TRADES_WITH,ORG_005,SUP_011,Company,Company,"交易金额:9919290.00,合同:HT2024000011"
TRADE_0012,TRADES_WITH,SUP_011,CUS_001,Company,Company,"交易金额:9902595.00,合同:HT2024000012"
TRADE_0013,TRADES_WITH,CUS_001,ORG_005,Company,Company,"交易金额:9994149.00,合同:HT2024000013"
TRADE_0014,TRADES_WITH,CUS_016,SUP_009,Company,Company,"交易金额:22643967.00,合同:HT2024000014"
TRADE_0015,TRADES_WITH,ORG_002,SUP_022,Company,Company,"交易金额:1880365.00,合同:HT2024000015"
TRADE_0016,TRADES_WITH,CUS_022,SUP_017,Company,Company,"交易金额:35622292.00,合同:HT2024000016"
TRADE_0017,TRADES_WITH,CUS_021,CP_009,Company,Company,"交易金额:3770394.00,合同:HT2024000017"
TRADE_0018,TRADES_WITH,CUS_017,CP_001,Company,Company,"交易金额:34216238.00,合同:HT2024000018"
TRADE_0019,TRADES_WITH,ORG_013,SUP_025,Company,Company,"交易金额:35121400.00,合同:HT2024000019"
TRADE_0020,TRADES_WITH,ORG_011,SUP_008,Company,Company,"交易金额:47746694.00,合同:HT2024000020"
TRADE_0021,TRADES_WITH,CUS_026,CP_005,Company,Company,"交易金额:28839916.00,合同:HT2024000021"
TRADE_0022,TRADES_WITH,ORG_003,CP_009,Company,Company,"交易金额:20484426.00,合同:HT2024000022"
TRADE_0023,TRADES_WITH,CUS_017,SUP_012,Company,Company,"交易金额:8486756.00,合同:HT2024000023"
TRADE_0024,TRADES_WITH,ORG_017,SUP_005,Company,Company,"交易金额:31990947.00,合同:HT2024000024"
